"index","ST","STATE","TOT_EMP","JOBS_1000","LOC_Q","H_MEAN","A_MEAN","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90"
"0","AK","Alaska","5810","18.256","1.01","46.125","95935.0","29.135","35.495","44.315","54.06","66.265","60605.0","73825.0","92175.0","112455.0","137840.0"
"1","AL","Alabama","42880","22.304","1.32","49.435","102830.0","26.165","35.32","46.77","60.365","75.35","54430.0","73460.0","97290.0","125560.0","156725.0"
"2","AR","Arkansas","25970","21.636","1.5","44.22333","91986.664","27.62","33.836666","41.713333","51.793335","64.14","57443.332","70376.664","86760.0","107730.0","133413.33"
"3","AZ","Arizona","100750","37.259","2.66","52.466667","109133.336","29.646667","38.923332","50.193333","63.29","76.88","61666.668","80956.664","104403.336","131640.0","159913.33"
"4","CA","California","649570","38.909","4.18","65.496666","136233.33","34.533333","47.02667","61.77","79.07333","90.89","71830.0","97820.0","128480.0","164480.0","189050.0"
"5","CO","Colorado","116960","45.768","3.32","59.843334","124473.336","30.113333","42.84","56.35","72.56","86.96333","62636.668","89113.336","117210.0","150930.0","180883.33"
"6","CT","Connecticut","57740","34.901","3.04","57.57","119740.0","33.07","41.49","54.29","69.005","83.7","68790.0","86305.0","112925.0","143525.0","174095.0"
"7","DC","District of Columbia","47420","66.961","7.53","64.59333","134360.0","40.793335","52.36","63.316666","75.34","87.82667","84850.0","108906.664","131693.33","156706.67","182680.0"
"8","DE","Delaware","18750","42.354","2.37","60.89","126650.0","35.485","44.62","57.365","72.61","83.495","73810.0","92805.0","119320.0","151025.0","173675.0"
"9","FL","Florida","214400","25.467","1.8","49.66","103290.0","27.253334","36.106667","46.086666","58.433334","74.903336","56690.0","75103.336","95853.336","121540.0","155800.0"
"10","GA","Georgia","154570","35.92","3.25","52.533333","109270.0","28.83","37.286667","49.873333","65.14667","79.28333","59960.0","77556.664","103730.0","135506.67","164903.33"
"11","GU","Guam","650","10.601","0.76","32.545","67695.0","16.895","22.01","29.07","39.065","52.32","35130.0","45775.0","60465.0","81255.0","108835.0"
"12","HI","Hawaii","10850","17.141","2.06","49.073334","102076.664","31.386667","38.826668","47.47","56.586666","66.53","65283.332","80763.336","98730.0","117700.0","138380.0"
"13","IA","Iowa","38840","25.298","1.71","47.825","99480.0","28.495","37.06","46.575","57.12","67.725","59265.0","77090.0","96875.0","118810.0","140870.0"
"14","ID","Idaho","15510","22.617","2.42","42.28","87935.0","21.67","28.445","38.51","51.535","67.275","45065.0","59165.0","80105.0","107190.0","139940.0"
"15","IL","Illinois","188740","31.839","2.5","55.33","115090.0","31.923334","41.49","52.623333","66.2","79.93667","66400.0","86303.336","109460.0","137696.67","166263.33"
"16","IN","Indiana","62850","20.824","2.5","47.863335","99553.336","27.39","34.763332","44.65333","57.366665","71.44666","56973.332","72310.0","92876.664","119323.336","148606.67"
"17","KS","Kansas","38940","28.438","2.1","45.68667","95026.664","28.34","34.47333","43.77667","55.5","67.003334","58953.332","71696.664","91053.336","115440.0","139363.33"
"18","KY","Kentucky","33620","17.918","1.07","44.825","93235.0","23.18","30.635","42.165","55.365","69.715","48210.0","63720.0","87705.0","115155.0","145005.0"
"19","LA","Louisiana","21940","11.538","0.75","40.885","85040.0","22.485","29.085","37.895","48.435","61.55","46765.0","60490.0","78820.0","100740.0","128025.0"
"20","MA","Massachusetts","159310","45.154","4.58","61.206665","127306.664","34.363335","43.773335","57.34","73.666664","89.92333","71476.664","91046.664","119263.336","153226.67","187036.67"
"21","MD","Maryland","137210","51.498","8.11","57.573334","119750.0","33.34667","43.386665","56.31333","67.60667","83.346664","69363.336","90240.0","117126.664","140620.0","173366.67"
"22","ME","Maine","12680","21.147","1.48","45.905","95475.0","27.765","34.6","43.75","54.265","67.92","57755.0","71960.0","91000.0","112870.0","141275.0"
"23","MI","Michigan","120950","28.284","1.96","49.303333","102550.0","28.263334","36.836666","47.546665","59.516666","73.636665","58786.668","76620.0","98903.336","123786.664","153163.33"
"24","MN","Minnesota","104080","36.667","2.85","55.263332","114943.336","33.843334","41.93","53.416668","66.52333","79.55666","70400.0","87216.664","111106.664","138366.67","165480.0"
"25","MO","Missouri","90980","32.624","2.31","49.35","102646.664","26.996666","35.64","46.61","61.92","74.94334","56156.668","74130.0","96956.664","128790.0","155876.67"
"26","MS","Mississippi","13200","11.796","1.84","41.993332","87343.336","24.876667","31.076666","39.173332","49.9","62.906666","51743.332","64640.0","81486.664","103786.664","130846.664"
"27","MT","Montana","8770","19.033","1.76","46.15333","96003.336","23.953333","29.243334","36.01","49.006668","80.69666","49823.332","60823.332","74900.0","101933.336","167843.33"
"28","NC","North Carolina","141550","32.932","2.25","53.043335","110330.0","28.93","39.126667","52.72","64.64","78.10667","60176.668","81386.664","109660.0","134450.0","162463.33"
"29","ND","North Dakota","7920","19.007","1.07","44.75","93080.0","27.59","33.935","41.92","51.79","63.635","57390.0","70580.0","87185.0","107725.0","132365.0"
"30","NE","Nebraska","32300","33.29","2.04","45.42","94473.336","28.933332","35.21","44.503334","54.47","64.13333","60176.668","73240.0","92566.664","113300.0","133406.67"
"31","NH","New Hampshire","21240","32.673","2.24","54.44","113240.0","31.715","39.68","51.315","65.065","81.135","65970.0","82530.0","106730.0","135340.0","168755.0"
"32","NJ","New Jersey","154820","38.636","4.15","64.363335","133870.0","38.363335","47.123333","60.316666","77.003334","87.03333","79796.664","98013.336","125453.336","160173.33","181026.67"
"33","NM","New Mexico","16690","20.835","5.99","51.123333","106336.664","30.16","38.126667","47.883335","61.866665","78.06333","62726.668","79293.336","99593.336","128686.664","162370.0"
"34","NV","Nevada","26360","17.149","1.58","50.27","104563.336","28.82","36.976665","48.693333","60.7","74.886665","59943.332","76910.0","101286.664","126253.336","155763.33"
"35","NY","New York","286810","31.149","2.73","67.253334","139893.33","37.236668","46.863335","61.036667","79.47","90.64667","77446.664","97470.0","126950.0","165296.67","188546.67"
"36","OH","Ohio","162380","30.235","2.15","52.27","108723.336","30.92","38.513332","49.036667","61.393333","78.22667","64306.668","80110.0","101990.0","127696.664","162713.33"
"37","OK","Oklahoma","35290","22.435","3.12","42.27667","87936.664","24.533333","31.6","40.5","50.853333","62.413334","51036.668","65726.664","84246.664","105770.0","129823.336"
"38","OR","Oregon","58700","32.064","2.89","52.1","108365.0","28.105","37.335","49.925","63.215","78.36","58455.0","77655.0","103835.0","131490.0","162985.0"
"39","PA","Pennsylvania","171840","29.722","2.11","54.29","112930.0","32.47","40.796665","51.193333","62.93","78.57333","67540.0","84863.336","106480.0","130893.336","163430.0"
"40","PR","Puerto Rico","12070","13.783","1.04","29.68","61735.0","14.245","19.22","25.805","37.285","49.74","29630.0","39975.0","53675.0","77550.0","103460.0"
"41","RI","Rhode Island","16100","33.833","6.39","54.58","113523.336","33.196667","43.44","54.22333","63.373333","73.72667","69053.336","90350.0","112776.664","131813.33","153350.0"
"42","SC","South Carolina","42470","21.133","1.23","46.29","96290.0","25.475","33.015","43.78","56.955","68.78","52995.0","68675.0","91060.0","118465.0","143060.0"
"43","SD","South Dakota","8250","19.682","0.84","46.155","95995.0","30.655","36.26","44.06","54.465","64.2","63765.0","75425.0","91645.0","113290.0","133540.0"
"44","TN","Tennessee","60120","20.617","1.68","48.27","100403.336","25.62","35.076668","45.273335","60.02","72.29667","53290.0","72956.664","94166.664","124843.336","150380.0"
"45","TX","Texas","375050","31.541","2.56","57.016666","118593.336","25.55","40.193333","54.62","70.816666","83.14","53140.0","83606.664","113606.664","147300.0","172926.67"
"46","UT","Utah","54340","38.523","5.09","47.32","98426.664","24.563334","32.77667","45.666668","57.86","72.136665","51093.332","68170.0","94983.336","120353.336","150036.67"
"47","VA","Virginia","217810","57.471","6.76","64.013336","133146.67","39.226665","49.323334","61.15","76.39333","86.83","81593.336","102590.0","127193.336","158890.0","180603.33"
"48","VI","Virgin Islands","410","10.966","0.92","26.93","56010.0","15.82","19.09","23.87","30.34","40.55","32900.0","39700.0","49650.0","63120.0","84350.0"
"49","VT","Vermont","7790","25.547","1.46","48.56","101015.0","25.995","33.2","44.36","59.715","76.15","54070.0","69055.0","92270.0","124210.0","158400.0"
"50","WA","Washington","171330","53.767","5.34","63.63","132350.0","34.54","46.53","60.193333","76.67667","91.71667","71843.336","96783.336","125203.336","159490.0","190776.67"
"51","WI","Wisconsin","82560","29.225","2.14","43.396667","90273.336","27.706667","33.126667","40.983334","51.04","61.636665","57636.668","68903.336","85246.664","106163.336","128203.336"
"52","WV","West Virginia","11640","16.906","0.96","45.145","93905.0","24.36","32.485","43.36","56.045","66.715","50665.0","67560.0","90185.0","116575.0","138770.0"
"53","WY","Wyoming","2860","10.652","0.62","39.13","81390.0","25.085","29.19","36.705","45.33","58.88","52185.0","60715.0","76345.0","94290.0","122470.0"
